Name,Formal Name,Categories,Features,Layouts,Max Capacity
320-105,"320-105, Bldg.320, Main Quad","Auditoria,ÊEMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊLecture Room,ÊMicrophone, Wired,ÊProjection, Dual Screens,SUNET Capability,ÊSmartpanel, Docking Station",Auditorium [A],242
320-106,"320-106, Bldg.320, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlinds, Blackout,ÊPlayer, DVD Multi-Region,ÊProjection, Data/Video,ÊSUNET Capability,ÊSeat, Movable,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),Whiteboard, Fixed",Seminar [SEM],25
320-107,"320-107, Bldg.320, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊProjection, Data/Video,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),Whiteboard, Fixed",Seminar [SEM],24
320-220,"320-220, Bldg.320, Main Quad","EMCS,ÊRegistrar Room,Registrar/Dept Shared","Blackboard, Fixed,ÊBlinds, Blackout,ÊBoards, Multiple,ÊLecture Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊStrip Tables,ÊWindow",Lecture [LEC],40
360-361A,"360-361A, Bldg.360, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Access, Wheelchair,ÊBlinds, Blackout,ÊLighting, Adjustable,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],17
370-370,"370-370, Bldg.370, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Outside,ÊAccess, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊBoards, Multiple,ÊLecture Room,Microphone, Wired,ÊPlayer, Audio CD,ÊPlayer, DVD Multi-Region,ÊProjection, Dual Screens,ÊSUNET Capability,Smartpanel, Docking Station",Lecture [LEC],137
380-380C,"380-380C, Bldg.380, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Outside,ÊAccess, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊBoards, Multiple,ÊLecture Room,Player, Audio CD,ÊProjection, Data/Video,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,VCR, VHS (SVHS Capable)",Lecture [LEC],100
380-380D,"380-380D, Bldg.380, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊLecture Room,ÊSeat, Fix Tablet Arm, Tiered,Smartpanel, Docking Station",Lecture [LEC],42
380-380F,"380-380F, Bldg.380, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊBoards, Multiple,ÊLecture Room,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊWindow",Lecture [LEC],49
380-380W,"380-380W, Bldg.380, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊLecture Room,ÊSeat, Fix Tablet Arm, Tiered,Smartpanel, Docking Station,ÊWindow",Lecture [LEC],52
380-380X,"380-380X, Bldg.380, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊLecture Room,ÊPlayer, Audio CD,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Lecture [LEC],69
380-380Y,"380-380Y, Bldg.380, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊLecture Room,ÊPlayer, Audio CD,ÊSUNET Capability,Seat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Lecture [LEC],80
380-381T,"380-381T, Bldg.380, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Blackboard, Fixed,ÊSUNET Capability,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊWindow",Seminar [SEM],22
380-381U,"380-381U, Bldg.380, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊBoards, Multiple,ÊLecture Room,ÊPlasma screen,ÊSmartpanel, Docking Station,ÊWindow",Seminar [SEM],26
40-42A,"40-42A, Bldg.40, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Blackboard, Fixed,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),Window",Seminar [SEM],14
420-040,"420-040, Jordan Hall, Main Quad","Auditoria,ÊEMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBoards, Multiple,ÊLecture Room,ÊLighting, Adjustable,ÊMicrophone, Wired,ÊPlayer, Audio CD,ÊPlayer, Audio Cassette,ÊProjection, Data/Video,ÊSUNET Capability,ÊSeat, Theatre Style,ÊSmartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Mult Movable Panel",Auditorium [A],293
420-041,"420-041, Jordan Hall, Main Quad","Auditoria,ÊEMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Boards, Multiple,ÊLecture Room,ÊLighting, Adjustable,ÊMicrophone, Wired,ÊPlayer, Audio CD,ÊPlayer, Audio Cassette,Player, DVD/VHS,ÊProjection, 35MM Slide,ÊProjection, Data/Video,ÊSUNET Capability,ÊSeat, Theatre Style,ÊSmartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Mult Movable Panel",Lecture [LEC],167
420-050,"420-050, Jordan Hall, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Outside,ÊAccess, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,Smartpanel, Docking Station,ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],28
420-147,"420-147, Jordan Hall, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊWhiteboard, Fixed",Seminar [SEM],14
420-245,"420-245, Jordan Hall, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊWhiteboard, Fixed",Seminar [SEM],16
420-286,"420-286, Jordan Hall, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled","Blackboard, Fixed,ÊBlinds, Blackout,ÊSeminar Room,ÊSeminar, Conf or Flex Tables",Seminar [SEM],16
420-371,"420-371, Jordan Hall, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊSeminar Room",Seminar [SEM],12
460-301,"460-301, Margaret Jacks Hall, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled","Access, Wheelchair,ÊBoards, Multiple,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊWhiteboard, Fixed",Seminar [SEM],20
460-334,"460-334, Margaret Jacks Hall, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled","Boards, Multiple,ÊProjection, Dual Screens,ÊSUNET Capability,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊWhiteboard, Fixed",Seminar [SEM],20
460-429,"460-429, Margaret Jacks Hall, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled","Seminar Room,ÊWhiteboard, Fixed",Seminar [SEM],16
50-51B,"50-51B, Bldg.50, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊBoards, Multiple,ÊPlasma screen,ÊSeminar Room,Seminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],22
50-51P,"50-51P, Bldg.50, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊPlayer, DVD Multi-Region,ÊPlayer, DVD/VHS,ÊProjection, Data/Video,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],24
50-52E,"50-52E, Bldg.50, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Blackboard, Fixed,ÊPlasma screen,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,Smartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],12
50-52H,"50-52H, Bldg.50, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled","Blackboard, Multiple Mov Panel,ÊLecture Room,ÊPlasma screen,ÊPlayer, DVD Multi-Region,ÊSeat, Movable,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow","Lecture [LEC],Seminar [SEM]",35
530-127,"530-127, Bldg.530, Mechanical Engineering","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Outside,ÊAccess, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊLecture Room,ÊPlayer, DVD Multi-Region,ÊProjection, 35MM Slide,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Lecture [LEC],78
540-103,"540-103, Bldg.540, Blume Earthquake Center","EMCS,ÊRegistrar Room,Registrar Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊBoards, Multiple,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊWindow",Seminar [SEM],19
540-108,"540-108, Bldg.540, Blume Earthquake Center","EMCS,ÊRegistrar Room,Registrar Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊLecture Room,ÊPlayer, DVD Multi-Region,Projection, Data/Video,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Lecture [LEC],49
60-118,"60-118, Bldg.60, Main Quad","Registrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBoards, Multiple,ÊPlasma screen,ÊPlayer, DVD Multi-Region,ÊSeat, Table/Chair, Flexible,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],14
60-119,"60-119, Bldg.60, Main Quad","Registrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊPlasma screen,ÊPlayer, DVD Multi-Region,ÊSeat, Table/Chair, Flexible,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],14
60-120,"60-120, Bldg.60, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊLecture Room,ÊPlayer, DVD Multi-Region,ÊSeat, Theatre Style,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Mult Movable Panel,ÊWindow",Lecture [LEC],63
70-72A1,"70-72A1, Bldg.70, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Seminar Room,ÊSeminar, Conf or Flex Tables,ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],16
80-113,"80-113, Bldg.80, Main Quad","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Blinds, Blackout,ÊFlexible Seating,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],12
80-115,"80-115, Bldg.80, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Blackboard, Fixed,ÊBlinds, Blackout,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊWindow",Seminar [SEM],20
90-92Q,"90-92Q, Bldg.90, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Blackboard, Fixed,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊWindow",Seminar [SEM],23
ART350,"McMurtry Art & Art History Building, Room 350","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Seminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊWindow",Lecture [LEC],50
ART360,"McMurtry Art & Art History Building, Room 360","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Lecture Room,ÊSmartpanel, Docking Station,ÊWindow",Lecture [LEC],35
BISHOPAUD,Bishop Auditorium,"Auditoria,ÊEMCS,ÊRegistrar Room,Registrar Scheduled","Access, Outside,ÊAccess, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊLecture Room,Microphones,ÊProjection, Data/Video,ÊProjection, Dual 35MM Slide,ÊSeat, Fix Tablet Arm, Tiered,Smartpanel, Docking Station,ÊVCR, VHS (SVHS Capable)",Auditorium [A],306
BRAUNAUD,"Braun Auditorium, Mudd Chemistry","Auditoria,ÊEMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled,ÊStanford Events Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊLecture Room,ÊMicrophones,SUNET Capability,ÊScience Demo Facilities,ÊScience Demo Prep Room,ÊSeat, Fix Tablet Arm, Tiered,Smartpanel, Docking Station,ÊVCR, VHS (SVHS Capable)",Auditorium [A],292
BRAUNLEC,"Braun Lecture Hall, Mudd Chemistry","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊLecture Room,ÊProjection, Data/Video,ÊSUNET Capability,ÊScience Demo Facilities,ÊScience Demo Prep Room,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (SVHS Capable)",Lecture [LEC],112
CEMEX,Cemex Auditorium,"Auditoria,ÊEMCS,ÊRegistrar Room,Registrar/Dept Shared,ÊStanford Conference Scheduled,ÊTime-Sharing Agreement","Access, Wheelchair,ÊBoards, Multiple,ÊLecture Room,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeat, Theatre Style,ÊSmartpanel, Docking Station,ÊWhiteboard, Not Fixed",Auditorium [A],587
CERAS300,"Center for Educational Research (CERAS), Room 300","EMCS,ÊGraduate School of Education,Registrar Room,ÊRegistrar/Dept Shared,Time-Sharing Agreement","Boards, Multiple,ÊProjection, Dual Data/Video,ÊSeat, Movable,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊSound System,ÊTeleconference Capable,ÊWhiteboard, Fixed,ÊWhiteboard, Interactive",Seminar [SEM],95
CUBAUD,Cubberley Auditorium,"Auditoria,ÊEMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled,ÊStanford Events Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBoards, Multiple,ÊLecture Room,ÊMicrophone, Wired,ÊPlayer, Audio CD,ÊProjection, 35MM Film,ÊProjection, 35MM Slide,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable)",Auditorium [A],390
DINKAUD,Dinkelspiel Auditorium,"Auditoria,ÊEMCS,ÊRegistrar Room,ÊRegistrar/Dept Shared,ÊStanford Conference Scheduled,ÊStanford Events Scheduled,ÊTime-Sharing Agreement","Access, Wheelchair,ÊBoards, Multiple,ÊLecture Room,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,Seat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊWhiteboard, Not Fixed",Auditorium [A],702
DINKG10,"DINKG10, Dinkelspiel Auditorium, Music Center","EMCS,ÊRegistrar Room,ÊRegistrar/Dept Shared,Time-Sharing Agreement","Blackboard, Fixed,ÊLecture Room,ÊSUNET Capability,ÊSeat, Theatre Style,ÊSmartpanel, Docking Station",Lecture [LEC],80
ECON106,"ECON106, Landau Economics Building","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Access, Outside,ÊAccess, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlue-Ray,ÊBoards, Multiple,Projection Screen, Fixed/Adjustable,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station",Seminar [SEM],17
ECON139,"ECON139, Landau Economics Building","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Access, Outside,ÊAccess, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊBoards, Multiple,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊWindow",Seminar [SEM],36
ECON140,"ECON140, Landau Economics Building","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Access, Outside,ÊAccess, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊLecture Room,ÊLighting, Adjustable,ÊProjection, Data/Video,ÊSeat, Fix Tablet Arm, Tiered,ÊSeat, Table/Chair, Flexible,ÊSmartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWindow",Lecture [LEC],76
ECON206,"ECON206, Landau Economics Building","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables",Seminar [SEM],17
ECON218,"ECON218, Landau Economics Building","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables",Seminar [SEM],26
EDUC128,"EDUC128, School of Education","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊBoards, Multiple,ÊLecture Room,ÊPlayer, DVD Multi-Region,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Lecture [LEC],85
EDUC130,"EDUC130, School of Education","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Access, Wheelchair,ÊBoards, Multiple,ÊPlayer, DVD Multi-Region,ÊProjection, Data/Video,ÊSUNET Capability,ÊSeat, Movable,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),VCR, VHS (SVHS Capable),ÊWhiteboard, Mult Movable Panel,ÊWindow",Seminar [SEM],24
EDUC206,"EDUC206, School of Education","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊPlayer, DVD Multi-Region,Projection, Data/Video,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,Smartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],43
EDUC207,"EDUC207, School of Education","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],22
EDUC208,"EDUC208, School of Education","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊPlasma screen,ÊSUNET Capability,ÊSeat, Table/Chair, Flexible,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),Window",Seminar [SEM],23
EDUC210,"EDUC210, School of Education","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊSUNET Capability,ÊSeat, Table/Chair, Flexible,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],33
EDUC229,"EDUC229, School of Education","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,Smartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],21
EDUC230,"EDUC230, School of Education","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,Smartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],16
EDUC313,"EDUC313, School of Education","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊLecture Room,ÊSeat, Movable,ÊSeminar Room,Smartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWindow","Lecture [LEC],Seminar [SEM]",33
EDUC334,"EDUC334, School of Education","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊLecture Room,ÊPlayer, DVD Multi-Region,ÊProjection, Data/Video,ÊSUNET Capability,ÊSeat, Movable,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow","Lecture [LEC],Seminar [SEM]",60
EDUC36,"EDUC36, School of Education","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Blackboard, Fixed,ÊPlayer, DVD/VHS,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊVCR, VHS (SVHS Capable)",Seminar [SEM],20
EDUC41,"EDUC41, School of Education","EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊVCR, VHS (SVHS Capable)",Seminar [SEM],20
ENCINAC464,Encina Hall Center,"EMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBoards, Multiple,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,Smartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],28
ENCINAW101,"ENCINAW101, Encina Hall West","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Player, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],22
ENCINAW106,"ENCINAW106, Encina Hall West","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Player, DVD Multi-Region,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],16
ENCINAW108,"ENCINAW108, Encina Hall West","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊPlayer, DVD Multi-Region,ÊSeminar Room,Smartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊWindow",Seminar [SEM],20
ENCINAW202,"ENCINAW202, Encina Hall West","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlinds, Blackout,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),Whiteboard, Fixed,ÊWindow",Seminar [SEM],30
GATES100,"GATES100, Gates Computer Science","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Blackboard, Fixed,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊBoards, Multiple,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊWhiteboard, Mult Movable Panel,ÊWindow",Seminar [SEM],21
GATESB12,"GATESB12, Gates Computer Science","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊLecture Room,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Lecture [LEC],50
GESB131,"GESB131, Green Earth Sciences","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊBoards, Multiple,ÊSUNET Capability,Seminar Room,ÊWindow",Seminar [SEM],30
